ticker,year,e_score,s_score,g_score,total_score
IVZ,2019,1.49,14.47,10.68,26.13
IVZ,2021,1.8,12.93,10.41,25.14
JCI,2019,6.0,5.12,7.37,18.3
JCI,2020,6.25,4.73,6.76,17.74
JCI,2021,8.03,2.53,6.02,16.57
JCI,2022,5.13,3.43,5.31,13.87
JNJ,2019,1.3,22.35,11.73,35.54
JNJ,2020,1.29,21.19,11.44,33.92
JNJ,2021,0.74,19.89,9.29,29.92
JNJ,2022,0.74,16.53,8.54,25.82
JPM,2019,1.16,12.27,9.65,22.95
JPM,2020,1.16,11.98,9.05,22.18
JPM,2021,1.07,16.13,10.74,27.94
JPM,2022,1.11,16.32,11.65,29.08
KMB,2019,7.59,7.46,6.79,21.85
KMB,2020,7.87,7.28,6.92,22.06
KMB,2021,8.11,7.22,6.83,22.16
KMI,2019,10.83,10.18,4.44,25.31
KMI,2020,9.23,9.5,4.24,22.97
KMI,2021,8.55,6.06,3.82,18.43
KMX,2019,0.14,9.09,4.2,13.45
KMX,2021,0.11,8.7,4.17,12.98
KMX,2022,0.08,7.92,3.98,11.97
KMX,2023,0.09,8.02,3.99,12.1
LDOS,2018,1.22,12.94,7.09,21.09
LDOS,2019,1.19,13.15,6.94,20.97
LDOS,2020,1.21,12.51,6.71,20.42
LH,2020,0.74,9.63,7.56,17.93
LH,2021,0.67,7.67,6.96,15.3
LH,2022,0.51,10.26,7.31,18.08
LH,2023,0.28,12.13,6.86,19.27
LMT,2019,7.35,16.61,7.53,31.29
LMT,2020,7.22,16.05,7.25,30.52
LMT,2021,5.27,15.81,7.63,28.7
